date,event_name,event_date,GPR_custom,F3_raw,GPR,GPR_zscore,N,mean_tone,BTC,Gold,TLT,DXY,SP500,NASDAQ,VIX,fear_greed,fg_label,fear_greed_lag1
2024-03-13,israel_iran_war,2024-04-01,0.0525024956962896,2.606995303797863,133.21316528320312,0.6174344299796027,8055,-3.095930400087782,0.02216689906407544,0.006919166252700285,-0.004860010575975959,-0.001652473464197943,-0.0019263840021219723,-0.0054168371491861355,13.75,81,Extreme Greed,81.0
2024-03-14,israel_iran_war,2024-04-01,-0.5189740978427457,2.262532884497698,133.21316528320312,0.6174344299796027,6444,-3.1371008353094125,-0.0233524614583823,-0.0057163638155206895,-0.015476022127641268,0.005529965007790918,-0.002875221051495188,-0.0030482782762357463,14.399999618530273,88,Extreme Greed,81.0
2024-03-15,israel_iran_war,2024-04-01,-0.6419611117417524,2.188401406797446,133.21316528320312,0.6174344299796027,5553,-3.379666866273197,-0.01433813593122901,-0.0026386845425951824,-0.0003227236723825544,0.0006770124008702463,-0.0065040228597376655,-0.009679335585673908,14.40999984741211,83,Extreme Greed,88.0
2024-03-18,israel_iran_war,2024-04-01,0.1078883762813275,2.6403796184611177,133.21316528320312,0.6174344299796027,5438,-4.141125911095183,-0.012388507554368627,0.0015747582428707817,-0.0030172304149487144,0.0014492203331648618,0.006298184238480456,0.008123112057246386,14.329999923706055,77,Extreme Greed,83.0
2024-03-19,israel_iran_war,2024-04-01,-0.2233491323529786,2.4407233685339915,133.21316528320312,0.6174344299796027,5717,-3.689685056937333,-0.08712073185700822,-0.0020384080923120792,0.0028019686859861383,0.0022180030136969703,0.00563325304434312,0.003925593651015304,13.819999694824219,79,Extreme Greed,77.0
2024-03-20,israel_iran_war,2024-04-01,-1.2686024100363045,1.8106879884626783,133.21316528320312,0.6174344299796027,5086,-2.9849393672181983,0.09251085296877404,0.0007416687251718953,-0.00032289736775934874,-0.0038605770767512954,0.008864765516360184,0.012455218210947248,13.039999961853027,74,Greed,79.0
2024-03-21,israel_iran_war,2024-04-01,-1.0789711372047408,1.9249898649577624,133.21316528320312,0.6174344299796027,5001,-3.2137905209598028,-0.03631867422621332,0.01128966261576579,0.002150736960210429,0.0056891945309959875,0.003231309094528888,0.0019791553929582907,12.920000076293945,78,Extreme Greed,74.0
2024-03-22,israel_iran_war,2024-04-01,-0.0239416971967611,2.5609179107373365,133.21316528320312,0.6174344299796027,5430,-4.020874765721288,0.008754311721306805,-0.011196893703511956,0.009515301605380335,0.004126094272384448,-0.0014031718343267125,0.0016436145173748741,13.0600004196167,75,Greed,78.0
2024-03-25,israel_iran_war,2024-04-01,-0.0143187413094438,2.566718229951176,133.21316528320312,0.6174344299796027,4673,-4.511108917075251,0.0397250476948794,0.00770847852509448,-0.005013624102031977,-0.00191696545554607,-0.0030596403820319297,-0.002703150766510057,13.1899995803833,75,Greed,75.0
2024-03-26,israel_iran_war,2024-04-01,0.6173879701647571,2.947484869534799,133.21316528320312,0.6174344299796027,5546,-4.556189768864401,0.0004147786065640333,0.0003678047123048936,0.002776534339582158,0.0005754609535789789,-0.002803721982805726,-0.0042061314856176105,13.239999771118164,81,Extreme Greed,75.0
