window,event,event_label,asset,model,CAR,p_BMP,p_block,label
10,israel_hamas,이스라엘-하마스,DXY,CMRM,-0.0036,0.827,0.844,Non-Sig
10,israel_hamas,이스라엘-하마스,NASDAQ,MM(SP500),0.0074,0.589,0.6504,Non-Sig
10,israel_iran,이스라엘-이란 충돌,BTC,MM(NASDAQ),-0.1881,0.2967,0.0922,Marginal
10,israel_iran,이스라엘-이란 충돌,Gold,CMRM,0.0662,0.0554,0.0742,Marginal
10,israel_iran,이스라엘-이란 충돌,TLT,MM(SP500),-0.0365,0.4155,0.4216,Non-Sig
10,israel_iran,이스라엘-이란 충돌,DXY,CMRM,0.0322,0.0702,0.0518,Marginal
10,israel_iran,이스라엘-이란 충돌,NASDAQ,MM(SP500),0.0151,0.2777,0.2306,Non-Sig
10,us_israel_iran,미-이스라엘-이란,BTC,MM(NASDAQ),0.2046,0.075,0.0066,Marginal
10,us_israel_iran,미-이스라엘-이란,Gold,CMRM,-0.0536,0.5144,0.351,Non-Sig
10,us_israel_iran,미-이스라엘-이란,TLT,MM(SP500),-0.0194,0.5002,0.3832,Non-Sig
10,us_israel_iran,미-이스라엘-이란,DXY,CMRM,0.0269,0.1557,0.0466,Marginal
10,us_israel_iran,미-이스라엘-이란,NASDAQ,MM(SP500),0.0185,0.1121,0.0954,Marginal
17,hormuz_crisis,호르무즈 위기,BTC,MM(NASDAQ),0.0803,0.7618,0.5574,Non-Sig
17,hormuz_crisis,호르무즈 위기,Gold,CMRM,0.091,0.1002,0.0076,Marginal
17,hormuz_crisis,호르무즈 위기,TLT,MM(SP500),0.0368,0.3081,0.1588,Non-Sig
17,hormuz_crisis,호르무즈 위기,DXY,CMRM,-0.0096,0.609,0.5874,Non-Sig
17,hormuz_crisis,호르무즈 위기,NASDAQ,MM(SP500),-0.0163,0.4344,0.153,Non-Sig
17,soleimani_assassination,솔레이마니 암살,BTC,MM(NASDAQ),0.2669,0.1478,0.143,Non-Sig
17,soleimani_assassination,솔레이마니 암살,Gold,CMRM,0.0611,0.0517,0.1768,Marginal
17,soleimani_assassination,솔레이마니 암살,TLT,MM(SP500),0.0215,0.5806,0.68,Non-Sig
17,soleimani_assassination,솔레이마니 암살,DXY,CMRM,-0.0023,0.8666,0.873,Non-Sig
17,soleimani_assassination,솔레이마니 암살,NASDAQ,MM(SP500),0.0211,0.0117,0.0512,Marginal
17,russia_ukraine_invasion,러-우 전쟁,BTC,MM(NASDAQ),0.2468,0.2685,0.2018,Non-Sig
17,russia_ukraine_invasion,러-우 전쟁,Gold,CMRM,0.0776,0.2624,0.0694,Marginal
