범위,이벤트,모델,τ,변수,β,SE,p,n,유효n,BW,방법
이벤트별,호르무즈 위기,SP500+GPR+IA,0.5,SP500_x_GPR,-0.01625,0.00745,0.0305,182,91.0,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,SP500+GPR+IA,0.75,SP500_z,-0.0126,0.00518,0.016,182,136.5,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,SP500+GPR+IA,0.75,GPR_custom_z,0.01614,0.00608,0.0087,182,136.5,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,SP500+GPR+IA,0.75,SP500_x_GPR,-0.01932,0.00651,0.0034,182,136.5,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,SP500+GPR+IA,0.9,SP500_z,-0.02226,0.00713,0.0021,182,163.8,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,SP500+GPR+IA,0.9,GPR_custom_z,0.0249,0.01149,0.0315,182,163.8,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,SP500+GPR+IA,0.9,SP500_x_GPR,-0.0172,0.00869,0.0493,182,163.8,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,SP500+GPR+IA,0.95,SP500_z,-0.02711,0.00926,0.0039,182,172.9,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,SP500+GPR+IA,0.95,GPR_custom_z,0.02068,0.01299,0.1131,182,172.9,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,SP500+GPR+IA,0.95,SP500_x_GPR,-0.01101,0.0109,0.3141,182,172.9,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,Gold+GPR+IA,0.01,Gold_z,0.01451,0.01299,0.2653,182,1.8,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,Gold+GPR+IA,0.01,GPR_custom_z,-0.04078,0.02711,0.1342,182,1.8,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,Gold+GPR+IA,0.01,Gold_x_GPR,0.02416,0.01073,0.0256,182,1.8,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,Gold+GPR+IA,0.025,Gold_z,0.03452,0.00974,0.0005,182,4.5,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,Gold+GPR+IA,0.025,GPR_custom_z,-0.0326,0.02167,0.1342,182,4.5,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,Gold+GPR+IA,0.025,Gold_x_GPR,0.01118,0.0085,0.1899,182,4.5,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,Gold+GPR+IA,0.05,Gold_z,0.01403,0.00823,0.0902,182,9.1,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,Gold+GPR+IA,0.05,GPR_custom_z,-0.01352,0.01357,0.3205,182,9.1,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,Gold+GPR+IA,0.05,Gold_x_GPR,0.0091,0.00523,0.0837,182,9.1,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,Gold+GPR+IA,0.1,Gold_z,0.01389,0.00724,0.0565,182,18.2,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,Gold+GPR+IA,0.1,GPR_custom_z,-0.01066,0.01109,0.3375,182,18.2,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,Gold+GPR+IA,0.1,Gold_x_GPR,0.00658,0.00421,0.12,182,18.2,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,Gold+GPR+IA,0.2,Gold_z,0.01246,0.00625,0.0477,182,36.4,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,Gold+GPR+IA,0.2,GPR_custom_z,-0.00594,0.00716,0.4076,182,36.4,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,Gold+GPR+IA,0.2,Gold_x_GPR,0.00281,0.00294,0.3411,182,36.4,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,Gold+GPR+IA,0.25,Gold_z,0.00994,0.00638,0.1213,182,45.5,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,Gold+GPR+IA,0.25,GPR_custom_z,-0.00309,0.00588,0.5997,182,45.5,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,Gold+GPR+IA,0.25,Gold_x_GPR,0.00201,0.00281,0.4765,182,45.5,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,Gold+GPR+IA,0.5,Gold_z,0.00838,0.00658,0.2042,182,91.0,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,Gold+GPR+IA,0.5,GPR_custom_z,0.00131,0.00399,0.7431,182,91.0,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,Gold+GPR+IA,0.5,Gold_x_GPR,-0.00085,0.00305,0.7822,182,91.0,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,Gold+GPR+IA,0.75,Gold_z,0.01202,0.00721,0.0974,182,136.5,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,Gold+GPR+IA,0.75,GPR_custom_z,0.0141,0.00583,0.0166,182,136.5,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,Gold+GPR+IA,0.75,Gold_x_GPR,0.00156,0.00733,0.8315,182,136.5,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,Gold+GPR+IA,0.9,Gold_z,0.02923,0.00973,0.003,182,163.8,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,Gold+GPR+IA,0.9,GPR_custom_z,0.01912,0.01098,0.0832,182,163.8,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,Gold+GPR+IA,0.9,Gold_x_GPR,-0.00462,0.01138,0.6855,182,163.8,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,Gold+GPR+IA,0.95,Gold_z,0.03369,0.0125,0.0077,182,172.9,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,Gold+GPR+IA,0.95,GPR_custom_z,0.02825,0.01526,0.0658,182,172.9,4,HAC+IA(bw=4)
이벤트별,호르무즈 위기,Gold+GPR+IA,0.95,Gold_x_GPR,0.00772,0.02264,0.7336,182,172.9,4,HAC+IA(bw=4)
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.01,SP500_z,0.0245,0.00736,0.001,339,3.4,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.01,GPR_custom_z,-0.02336,0.02446,0.3402,339,3.4,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.01,SP500_x_GPR,0.00931,0.00517,0.0725,339,3.4,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.025,SP500_z,0.02095,0.00608,0.0006,339,8.5,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.025,GPR_custom_z,-0.03993,0.02827,0.1588,339,8.5,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.025,SP500_x_GPR,0.01163,0.00484,0.0168,339,8.5,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.05,SP500_z,0.01415,0.00282,0.0,339,16.9,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.05,GPR_custom_z,-0.00187,0.00907,0.8368,339,16.9,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.05,SP500_x_GPR,0.00723,0.0056,0.1978,339,16.9,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.1,SP500_z,0.01204,0.0022,0.0,339,33.9,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.1,GPR_custom_z,-0.00375,0.00825,0.6498,339,33.9,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.1,SP500_x_GPR,0.00765,0.0061,0.2108,339,33.9,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.2,SP500_z,0.00903,0.00202,0.0,339,67.8,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.2,GPR_custom_z,-0.00425,0.00629,0.4995,339,67.8,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.2,SP500_x_GPR,0.00561,0.00822,0.4951,339,67.8,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.25,SP500_z,0.00844,0.00225,0.0002,339,84.8,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.25,GPR_custom_z,-0.00214,0.005,0.6684,339,84.8,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.25,SP500_x_GPR,0.00453,0.00904,0.6167,339,84.8,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.5,SP500_z,0.00663,0.00334,0.0479,339,169.5,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.5,GPR_custom_z,-0.00108,0.00323,0.7376,339,169.5,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.5,SP500_x_GPR,0.00094,0.01168,0.9361,339,169.5,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.75,SP500_z,0.00647,0.00334,0.0535,339,254.2,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.75,GPR_custom_z,0.0053,0.00351,0.1316,339,254.2,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.75,SP500_x_GPR,0.00319,0.01095,0.771,339,254.2,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.9,SP500_z,0.00687,0.00401,0.0872,339,305.1,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.9,GPR_custom_z,0.00234,0.00516,0.6504,339,305.1,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.9,SP500_x_GPR,0.00158,0.01194,0.895,339,305.1,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.95,SP500_z,0.01157,0.00477,0.0159,339,322.1,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.95,GPR_custom_z,0.00296,0.00828,0.7206,339,322.1,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,SP500+GPR+IA,0.95,SP500_x_GPR,-0.00483,0.01393,0.7291,339,322.1,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.01,Gold_z,0.02241,0.01135,0.0491,339,3.4,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.01,GPR_custom_z,-0.03746,0.03152,0.2354,339,3.4,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.01,Gold_x_GPR,0.04642,0.02055,0.0245,339,3.4,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.025,Gold_z,0.02849,0.01113,0.0109,339,8.5,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.025,GPR_custom_z,-0.04331,0.03111,0.1648,339,8.5,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.025,Gold_x_GPR,0.04595,0.02074,0.0274,339,8.5,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.05,Gold_z,0.01809,0.0056,0.0014,339,16.9,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.05,GPR_custom_z,-0.02107,0.01639,0.1994,339,16.9,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.05,Gold_x_GPR,0.02556,0.01008,0.0117,339,16.9,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.1,Gold_z,0.01457,0.00344,0.0,339,33.9,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.1,GPR_custom_z,-0.00729,0.009,0.4183,339,33.9,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.1,Gold_x_GPR,0.01368,0.00524,0.0094,339,33.9,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.2,Gold_z,0.01053,0.00254,0.0,339,67.8,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.2,GPR_custom_z,-0.00239,0.00512,0.6405,339,67.8,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.2,Gold_x_GPR,0.00828,0.00394,0.0362,339,67.8,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.25,Gold_z,0.00946,0.00247,0.0002,339,84.8,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.25,GPR_custom_z,-0.00294,0.0048,0.54,339,84.8,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.25,Gold_x_GPR,0.00823,0.004,0.0404,339,84.8,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.5,Gold_z,0.00821,0.00271,0.0027,339,169.5,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.5,GPR_custom_z,0.00163,0.00269,0.5466,339,169.5,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.5,Gold_x_GPR,0.00322,0.00475,0.4972,339,169.5,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.75,Gold_z,0.0068,0.00329,0.0391,339,254.2,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.75,GPR_custom_z,0.0027,0.00327,0.4101,339,254.2,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.75,Gold_x_GPR,0.00058,0.0059,0.9217,339,254.2,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.9,Gold_z,0.00191,0.00538,0.7235,339,305.1,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.9,GPR_custom_z,0.00888,0.00826,0.283,339,305.1,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.9,Gold_x_GPR,-0.00689,0.00974,0.4797,339,305.1,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.95,Gold_z,0.00603,0.006,0.3162,339,322.1,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.95,GPR_custom_z,0.00926,0.01036,0.3722,339,322.1,5,HAC+IA(bw=5)
이벤트별,솔레이마니 암살,Gold+GPR+IA,0.95,Gold_x_GPR,-0.01007,0.01069,0.3468,339,322.1,5,HAC+IA(bw=5)
이벤트별,러-우 전쟁,SP500+GPR+IA,0.01,SP500_z,0.04756,0.0068,0.0,475,4.8,5,HAC+IA(bw=5)
이벤트별,러-우 전쟁,SP500+GPR+IA,0.01,GPR_custom_z,0.01854,0.01019,0.0695,475,4.8,5,HAC+IA(bw=5)
이벤트별,러-우 전쟁,SP500+GPR+IA,0.01,SP500_x_GPR,-0.00526,0.00509,0.3018,475,4.8,5,HAC+IA(bw=5)
이벤트별,러-우 전쟁,SP500+GPR+IA,0.025,SP500_z,0.03955,0.00503,0.0,475,11.9,5,HAC+IA(bw=5)
이벤트별,러-우 전쟁,SP500+GPR+IA,0.025,GPR_custom_z,0.00791,0.00839,0.3461,475,11.9,5,HAC+IA(bw=5)
이벤트별,러-우 전쟁,SP500+GPR+IA,0.025,SP500_x_GPR,-0.00216,0.0042,0.6077,475,11.9,5,HAC+IA(bw=5)
이벤트별,러-우 전쟁,SP500+GPR+IA,0.05,SP500_z,0.03172,0.00379,0.0,475,23.8,5,HAC+IA(bw=5)
이벤트별,러-우 전쟁,SP500+GPR+IA,0.05,GPR_custom_z,0.00327,0.00711,0.6453,475,23.8,5,HAC+IA(bw=5)
이벤트별,러-우 전쟁,SP500+GPR+IA,0.05,SP500_x_GPR,0.00047,0.00356,0.8958,475,23.8,5,HAC+IA(bw=5)
이벤트별,러-우 전쟁,SP500+GPR+IA,0.1,SP500_z,0.02449,0.00275,0.0,475,47.5,5,HAC+IA(bw=5)
