date,day_offset,actual,normal,AR,SAR,CAR,CSAR,event_name,asset
2020-01-02,-1,-0.0293593114134793,-0.007606396427930639,-0.021752914985548658,-0.5321137573426203,-0.025351882938724354,-0.23439493652388246,soleimani_assassination,BTC
2020-01-03,0,0.0501717459600312,-0.003775706774199258,0.053947452734230454,1.3196475871185753,0.0285955697955061,0.26438496829928815,soleimani_assassination,BTC
2020-01-06,1,0.0561656209922459,-0.0062218766921979096,0.062387497684443814,1.5261056196894853,0.09098306747994991,0.8411986746016445,soleimani_assassination,BTC
2020-01-07,2,0.0495268893264055,-0.005147870846460166,0.05467476017286566,1.3374387794333766,0.14565782765281557,1.3467030180522848,soleimani_assassination,BTC
2020-01-08,3,-0.0103216732028055,-0.006414461837963467,-0.003907211364842033,-0.09557711789243417,0.14175061628797353,1.3105782630563303,soleimani_assassination,BTC
2019-12-30,-3,0.0004622733368912,0.0003430119877404231,0.00011926134915077693,0.014804002327528074,0.00011926134915077693,0.005595386938151522,soleimani_assassination,Gold
2019-12-31,-2,0.0032959818895556,0.0003430119877404231,0.002952969901815177,0.36655440853955357,0.0030722312509659537,0.14413993079101287,soleimani_assassination,Gold
2020-01-02,-1,0.0032851540714616,0.0003430119877404231,0.0029421420837211767,0.3652103432123789,0.00601437333468713,0.28217646570079863,soleimani_assassination,Gold
2020-01-03,0,0.0160721496940034,0.0003430119877404231,0.01572913770626298,1.9524698728599768,0.02174351104095011,1.0201407122627126,soleimani_assassination,Gold
2020-01-06,1,0.010913635018349,0.0003430119877404231,0.010570623030608578,1.3121395075843967,0.03231413407155869,1.516082829761436,soleimani_assassination,Gold
2020-01-07,2,0.0035692183565126,0.0003430119877404231,0.003226206368772177,0.40047145980218074,0.035540340440330866,1.6674468140208032,soleimani_assassination,Gold
2020-01-08,3,-0.0092037106781219,0.0003430119877404231,-0.009546722665862322,-1.1850419735484783,0.02599361777446854,1.219543048994738,soleimani_assassination,Gold
