범위,이벤트,모델,τ,변수,β,SE,p,n,유효n,BW,방법,p_bh,sig_bh
이벤트별,호르무즈 위기,SP500+GPR+IA,0.75,SP500_x_GPR,-0.01932,0.00651,0.0034,182,136.5,4,HAC+IA(bw=4),0.02340983606557377,True
이벤트별,호르무즈 위기,SP500+GPR+IA,0.9,SP500_z,-0.02226,0.00713,0.0021,182,163.8,4,HAC+IA(bw=4),0.016036363636363633,True
이벤트별,호르무즈 위기,SP500+GPR+IA,0.9,GPR_custom_z,0.0249,0.01149,0.0315,182,163.8,4,HAC+IA(bw=4),0.1323,False
이벤트별,호르무즈 위기,SP500+GPR+IA,0.9,SP500_x_GPR,-0.0172,0.00869,0.0493,182,163.8,4,HAC+IA(bw=4),0.17547457627118643,False
이벤트별,호르무즈 위기,SP500+GPR+IA,0.95,SP500_z,-0.02711,0.00926,0.0039,182,172.9,4,HAC+IA(bw=4),0.0252,True
이벤트별,호르무즈 위기,SP500+GPR+IA,0.95,GPR_custom_z,0.02068,0.01299,0.1131,182,172.9,4,HAC+IA(bw=4),0.3125131578947369,False
이벤트별,호르무즈 위기,SP500+GPR+IA,0.95,SP500_x_GPR,-0.01101,0.0109,0.3141,182,172.9,4,HAC+IA(bw=4),0.6023835616438356,False
이벤트별,호르무즈 위기,Gold+GPR+IA,0.01,Gold_z,0.01451,0.01299,0.2653,182,1.8,4,HAC+IA(bw=4),0.5455902439024389,False
이벤트별,호르무즈 위기,Gold+GPR+IA,0.01,GPR_custom_z,-0.04078,0.02711,0.1342,182,1.8,4,HAC+IA(bw=4),0.33954216867469883,False
이벤트별,호르무즈 위기,Gold+GPR+IA,0.01,Gold_x_GPR,0.02416,0.01073,0.0256,182,1.8,4,HAC+IA(bw=4),0.11561290322580646,False
이벤트별,호르무즈 위기,Gold+GPR+IA,0.025,Gold_z,0.03452,0.00974,0.0005,182,4.5,4,HAC+IA(bw=4),0.005,True
이벤트별,호르무즈 위기,Gold+GPR+IA,0.025,GPR_custom_z,-0.0326,0.02167,0.1342,182,4.5,4,HAC+IA(bw=4),0.33954216867469883,False
이벤트별,호르무즈 위기,Gold+GPR+IA,0.025,Gold_x_GPR,0.01118,0.0085,0.1899,182,4.5,4,HAC+IA(bw=4),0.44557541899441344,False
이벤트별,호르무즈 위기,Gold+GPR+IA,0.05,Gold_z,0.01403,0.00823,0.0902,182,9.1,4,HAC+IA(bw=4),0.2686808510638298,False
이벤트별,호르무즈 위기,Gold+GPR+IA,0.05,GPR_custom_z,-0.01352,0.01357,0.3205,182,9.1,4,HAC+IA(bw=4),0.6063513513513514,False
이벤트별,호르무즈 위기,Gold+GPR+IA,0.05,Gold_x_GPR,0.0091,0.00523,0.0837,182,9.1,4,HAC+IA(bw=4),0.25848529411764704,False
이벤트별,호르무즈 위기,Gold+GPR+IA,0.1,Gold_z,0.01389,0.00724,0.0565,182,18.2,4,HAC+IA(bw=4),0.18984,False
이벤트별,호르무즈 위기,Gold+GPR+IA,0.1,GPR_custom_z,-0.01066,0.01109,0.3375,182,18.2,4,HAC+IA(bw=4),0.6160588235294118,False
이벤트별,호르무즈 위기,Gold+GPR+IA,0.1,Gold_x_GPR,0.00658,0.00421,0.12,182,18.2,4,HAC+IA(bw=4),0.32711538461538464,False
이벤트별,호르무즈 위기,Gold+GPR+IA,0.2,Gold_z,0.01246,0.00625,0.0477,182,36.4,4,HAC+IA(bw=4),0.1748793103448276,False
이벤트별,호르무즈 위기,Gold+GPR+IA,0.2,GPR_custom_z,-0.00594,0.00716,0.4076,182,36.4,4,HAC+IA(bw=4),0.702295081967213,False
이벤트별,호르무즈 위기,Gold+GPR+IA,0.2,Gold_x_GPR,0.00281,0.00294,0.3411,182,36.4,4,HAC+IA(bw=4),0.6160588235294118,False
이벤트별,호르무즈 위기,Gold+GPR+IA,0.25,Gold_z,0.00994,0.00638,0.1213,182,45.5,4,HAC+IA(bw=4),0.32711538461538464,False
이벤트별,호르무즈 위기,Gold+GPR+IA,0.25,GPR_custom_z,-0.00309,0.00588,0.5997,182,45.5,4,HAC+IA(bw=4),0.851704918032787,False
이벤트별,호르무즈 위기,Gold+GPR+IA,0.25,Gold_x_GPR,0.00201,0.00281,0.4765,182,45.5,4,HAC+IA(bw=4),0.778715953307393,False
이벤트별,호르무즈 위기,Gold+GPR+IA,0.5,Gold_z,0.00838,0.00658,0.2042,182,91.0,4,HAC+IA(bw=4),0.4610967741935484,False
이벤트별,호르무즈 위기,Gold+GPR+IA,0.5,GPR_custom_z,0.00131,0.00399,0.7431,182,91.0,4,HAC+IA(bw=4),0.9116326530612244,False
